,CONTROL,TUITFTE,INEXPFTE,AVGFACSAL,OPENADMP,ADM_RATE,SAT_AVG,ACTCMMID,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4_NOLOANNOPELL,FTFTPCTPELL,DEBT_MDN,C100_4_POOLED,C150_4_POOLED,MEDIAN_HH_INC,POVERTY_RATE,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PFTFAC,DEP_STAT_PCT_IND,REGION,DEBT_MDN_SUPP,UG25ABV,CDR3,CDR2,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10
0,1,7413.0,5384.0,7101.0,2.0,0.8986,957.0,18.0,22489.0,9744.0,18354.0,0.3768,0.7057,15000.0,0.0464,0.2533,49720.22,14.880000114440902,0.6020087884,0.18989328309999998,0.10514752039999999,0.0621468927,0.0408035154,0.7411,0.0988700565,5,15000,0.0758,0.182,0.114,33000,37300,39500
1,1,13177.0,16454.0,10717.0,2.0,0.9211,1220.0,25.0,24347.0,8568.0,19704.0,0.6659,0.3788,15000.0,0.3324,0.5567,55735.22,10.9099998474121,0.4276131917,0.1798024967,0.1423514067,0.114589156,0.13564374880000002,0.7766,0.3214086082,5,15000,0.2296,0.057,0.06,47000,49500,49300
2,2,14273.0,4206.0,4292.0,1.0,,,,17680.0,6900.0,6900.0,,1.0,13207.0,0.1786,0.2941,53683.7,10.649999618530199,0.7736486486,0.1148648649,0.0641891892,,,1.0,0.8952702703000001,5,13207,0.8302,0.11,0.071,PrivacySuppressed,48800,PrivacySuppressed
3,1,8677.0,9242.0,9442.0,2.0,0.8087,1314.0,28.0,23441.0,10714.0,22362.0,0.5719,0.2707,14000.0,0.2234,0.502,58688.62,9.36999988555908,0.374633738,0.1377145249,0.1469233989,0.1506906656,0.1900376727,0.6544,0.2515696944,5,14000,0.1842,0.059000000000000004,0.077,47000,55500,55100
4,1,10160.0,8527.0,7754.0,2.0,0.9774,972.0,18.0,21476.0,11068.0,19396.0,0.355,0.7792,18950.0,0.1042,0.2901,46065.2,16.9599990844726,0.6146166134000001,0.178514377,0.1126198083,0.052715655,0.0415335463,0.5826,0.107428115,5,18950,0.0848,0.203,0.132,29000,32500,34300
5,1,14198.0,10770.0,10225.0,2.0,0.5906,1252.0,27.0,29424.0,10780.0,29230.0,0.7676,0.1656,17500.0,0.4744,0.6998,57928.41,10.050000190734801,0.261546724,0.1279269603,0.1374865736,0.13168635880000001,0.3413533835,0.7454,0.1429645542,5,17500,0.0725,0.051,0.066,45500,51600,55800
7,1,6817.0,7988.0,8538.0,,,,,,,,,,13500.0,,,50752.1,10.4399995803833,0.4928385417,0.203125,0.1569010417,0.1009114583,0.0462239583,0.4601,0.7213541667,5,13500,0.6377,0.075,0.067,36700,45400,50900
8,1,7582.0,6289.0,7678.0,2.0,0.9281,1084.0,21.0,18291.0,8404.0,17812.0,0.4097,0.5183,12500.0,0.1041,0.3078,50723.81,13.0,0.48922624880000004,0.1885406464,0.1307541626,0.110675808,0.0808031342,0.9655,0.2272282076,5,12500,0.2244,0.10400000000000001,0.09,34600,39100,45200
9,1,15908.0,11058.0,10428.0,2.0,0.7543,1289.0,28.0,31282.0,11276.0,30524.0,0.8178,0.1409,16380.0,0.4947,0.7732,59005.4,9.59000015258789,0.2520373683,0.1208507255,0.12939773400000001,0.1530510833,0.3446630888,0.8553,0.0858676208,5,16380,0.0377,0.036000000000000004,0.045,53800,54600,58300
10,2,11383.0,10356.0,7688.0,2.0,0.5666,1232.0,26.0,52176.0,17650.0,17650.0,0.759,0.2665,18794.0,0.608,0.6711,64789.39,7.90999984741211,0.23529411760000002,0.12895927599999998,0.17873303170000002,0.17873303170000002,0.278280543,0.6667,0.031674208100000004,5,18794,0.0133,0.048,0.085,PrivacySuppressed,PrivacySuppressed,59500
12,3,11386.0,4579.0,5304.0,1.0,,,,29309.0,17014.0,17014.0,0.0,0.75,12667.0,0.0208,0.1429,55764.27,10.6999998092651,0.6569544875,0.1545441656,0.0954912803,0.0555082943,0.0375017723,0.1467,0.7848433291,5,12667,0.6206,0.11599999999999999,0.174,32200,42100,61700
15,2,11044.0,5379.0,5743.0,2.0,0.5227,1069.0,21.0,33944.0,21690.0,21690.0,0.3377,0.5475,15500.0,0.1159,0.2797,52330.99,12.3100004196167,0.5741789354,0.1596828992,0.1228765572,0.0866364666,0.056625141600000005,0.4534,0.6115515289,5,15500,0.4188,0.125,0.077,32000,45800,51900
22,2,11149.0,6703.0,6810.0,2.0,0.5841,1100.0,22.0,35685.0,27400.0,27400.0,0.5,0.4456,16000.0,0.2938,0.3993,54037.99,10.6099996566772,0.4023668639,0.17455621300000002,0.1523668639,0.1390532544,0.13165680470000002,0.5714,0.2218934911,5,16000,0.1833,0.098,0.078,31300,47300,47700
